CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
10deg,34500,157,189,255,#9dbdff
2deg,34600,163,185,255,#a3b9ff
10deg,34600,157,189,255,#9dbdff
2deg,34700,163,185,255,#a3b9ff
10deg,34700,157,189,255,#9dbdff
2deg,34800,163,185,255,#a3b9ff
10deg,34800,157,189,255,#9dbdff
2deg,34900,163,185,255,#a3b9ff
10deg,34900,157,189,255,#9dbdff
2deg,35000,163,184,255,#a3b8ff
10deg,35000,157,189,255,#9dbdff
2deg,35100,163,184,255,#a3b8ff
10deg,35100,157,189,255,#9dbdff
2deg,35200,162,184,255,#a2b8ff
10deg,35200,157,189,255,#9dbdff
2deg,35300,162,184,255,#a2b8ff
10deg,35300,157,189,255,#9dbdff
2deg,35400,162,184,255,#a2b8ff
10deg,35400,157,189,255,#9dbdff
2deg,35500,162,184,255,#a2b8ff
10deg,35500,157,189,255,#9dbdff
2deg,35600,162,184,255,#a2b8ff
10deg,35600,156,189,255,#9cbdff
2deg,35700,162,184,255,#a2b8ff
10deg,35700,156,189,255,#9cbdff
2deg,35800,162,184,255,#a2b8ff
10deg,35800,156,189,255,#9cbdff
2deg,35900,162,184,255,#a2b8ff
10deg,35900,156,189,255,#9cbdff
2deg,36000,162,184,255,#a2b8ff
10deg,36000,156,189,255,#9cbdff
2deg,36100,162,184,255,#a2b8ff
10deg,36100,156,189,255,#9cbdff
2deg,36200,162,184,255,#a2b8ff
10deg,36200,156,189,255,#9cbdff
2deg,36300,162,184,255,#a2b8ff
10deg,36300,156,189,255,#9cbdff
2deg,36400,162,184,255,#a2b8ff
10deg,36400,156,189,255,#9cbdff
2deg,36500,162,184,255,#a2b8ff
10deg,36500,156,189,255,#9cbdff
2deg,36600,162,184,255,#a2b8ff
10deg,36600,156,189,255,#9cbdff
2deg,36700,162,184,255,#a2b8ff
10deg,36700,156,189,255,#9cbdff
2deg,36800,162,184,255,#a2b8ff
10deg,36800,156,189,255,#9cbdff
2deg,36900,162,184,255,#a2b8ff
10deg,36900,156,189,255,#9cbdff
2deg,37000,162,184,255,#a2b8ff
10deg,37000,156,189,255,#9cbdff
2deg,37100,162,184,255,#a2b8ff
10deg,37100,156,189,255,#9cbdff
2deg,37200,162,184,255,#a2b8ff
10deg,37200,156,188,255,#9cbcff
2deg,37300,162,184,255,#a2b8ff
10deg,37300,156,188,255,#9cbcff
2deg,37400,162,184,255,#a2b8ff
10deg,37400,156,188,255,#9cbcff
2deg,37500,162,184,255,#a2b8ff
10deg,37500,156,188,255,#9cbcff
2deg,37600,162,184,255,#a2b8ff
10deg,37600,156,188,255,#9cbcff
2deg,37700,162,184,255,#a2b8ff
10deg,37700,156,188,255,#9cbcff
2deg,37800,162,184,255,#a2b8ff
10deg,37800,156,188,255,#9cbcff
2deg,37900,162,184,255,#a2b8ff
10deg,37900,156,188,255,#9cbcff
2deg,38000,162,184,255,#a2b8ff
10deg,38000,156,188,255,#9cbcff
2deg,38100,162,184,255,#a2b8ff
10deg,38100,156,188,255,#9cbcff
2deg,38200,162,184,255,#a2b8ff
10deg,38200,156,188,255,#9cbcff
2deg,38300,161,184,255,#a1b8ff
10deg,38300,156,188,255,#9cbcff
2deg,38400,161,184,255,#a1b8ff
10deg,38400,155,188,255,#9bbcff
2deg,38500,161,184,255,#a1b8ff
10deg,38500,155,188,255,#9bbcff
2deg,38600,161,183,255,#a1b7ff
10deg,38600,155,188,255,#9bbcff
2deg,38700,161,183,255,#a1b7ff
10deg,38700,155,188,255,#9bbcff
2deg,38800,161,183,255,#a1b7ff
10deg,38800,155,188,255,#9bbcff
2deg,38900,161,183,255,#a1b7ff
10deg,38900,155,188,255,#9bbcff
2deg,39000,161,183,255,#a1b7ff
10deg,39000,155,188,255,#9bbcff
2deg,39100,161,183,255,#a1b7ff
10deg,39100,155,188,255,#9bbcff
2deg,39200,161,183,255,#a1b7ff
10deg,39200,155,188,255,#9bbcff
2deg,39300,161,183,255,#a1b7ff
10deg,39300,155,188,255,#9bbcff
2deg,39400,161,183,255,#a1b7ff
10deg,39400,155,188,255,#9bbcff
2deg,39500,161,183,255,#a1b7ff
10deg,39500,155,188,255,#9bbcff
2deg,39600,161,183,255,#a1b7ff
10deg,39600,155,188,255,#9bbcff
2deg,39700,161,183,255,#a1b7ff
10deg,39700,155,188,255,#9bbcff
2deg,39800,161,183,255,#a1b7ff
10deg,39800,155,188,255,#9bbcff
2deg,39900,161,183,255,#a1b7ff
10deg,39900,155,188,255,#9bbcff
2deg,40000,161,183,255,#a1b7ff
10deg,40000,155,188,255,#9bbcff
,end,,,,
