CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
2deg,8800,219,226,255,#dbe2ff
10deg,8800,216,227,255,#d8e3ff
2deg,8900,218,226,255,#dae2ff
10deg,8900,215,226,255,#d7e2ff
2deg,9000,217,225,255,#d9e1ff
10deg,9000,214,225,255,#d6e1ff
2deg,9100,216,224,255,#d8e0ff
10deg,9100,212,225,255,#d4e1ff
2deg,9200,215,223,255,#d7dfff
10deg,9200,211,224,255,#d3e0ff
2deg,9300,214,223,255,#d6dfff
10deg,9300,210,223,255,#d2dfff
2deg,9400,213,222,255,#d5deff
10deg,9400,209,223,255,#d1dfff
2deg,9500,212,221,255,#d4ddff
10deg,9500,208,222,255,#d0deff
2deg,9600,211,221,255,#d3ddff
10deg,9600,207,221,255,#cfddff
2deg,9700,210,220,255,#d2dcff
10deg,9700,207,221,255,#cfddff
2deg,9800,209,220,255,#d1dcff
10deg,9800,206,220,255,#cedcff
2deg,9900,208,219,255,#d0dbff
10deg,9900,205,220,255,#cddcff
2deg,10000,207,218,255,#cfdaff
10deg,10000,204,219,255,#ccdbff
2deg,10100,207,218,255,#cfdaff
10deg,10100,203,219,255,#cbdbff
2deg,10200,206,217,255,#ced9ff
10deg,10200,202,218,255,#cadaff
2deg,10300,205,217,255,#cdd9ff
10deg,10300,201,218,255,#c9daff
2deg,10400,204,216,255,#ccd8ff
10deg,10400,201,217,255,#c9d9ff
2deg,10500,204,216,255,#ccd8ff
10deg,10500,200,217,255,#c8d9ff
2deg,10600,203,215,255,#cbd7ff
10deg,10600,199,216,255,#c7d8ff
2deg,10700,202,215,255,#cad7ff
10deg,10700,199,216,255,#c7d8ff
2deg,10800,202,214,255,#cad6ff
10deg,10800,198,216,255,#c6d8ff
2deg,10900,201,214,255,#c9d6ff
10deg,10900,197,215,255,#c5d7ff
2deg,11000,200,213,255,#c8d5ff
10deg,11000,196,215,255,#c4d7ff
2deg,11100,200,213,255,#c8d5ff
10deg,11100,196,214,255,#c4d6ff
2deg,11200,199,212,255,#c7d4ff
10deg,11200,195,214,255,#c3d6ff
2deg,11300,198,212,255,#c6d4ff
10deg,11300,195,214,255,#c3d6ff
2deg,11400,198,212,255,#c6d4ff
10deg,11400,194,213,255,#c2d5ff
2deg,11500,197,211,255,#c5d3ff
10deg,11500,193,213,255,#c1d5ff
2deg,11600,197,211,255,#c5d3ff
10deg,11600,193,212,255,#c1d4ff
2deg,11700,196,210,255,#c4d2ff
10deg,11700,192,212,255,#c0d4ff
2deg,11800,196,210,255,#c4d2ff
10deg,11800,192,212,255,#c0d4ff
2deg,11900,195,210,255,#c3d2ff
10deg,11900,191,211,255,#bfd3ff
2deg,12000,195,209,255,#c3d1ff
10deg,12000,191,211,255,#bfd3ff
2deg,12100,194,209,255,#c2d1ff
10deg,12100,190,211,255,#bed3ff
2deg,12200,194,208,255,#c2d0ff
10deg,12200,190,210,255,#bed2ff
2deg,12300,193,208,255,#c1d0ff
10deg,12300,189,210,255,#bdd2ff
2deg,12400,193,208,255,#c1d0ff
10deg,12400,189,210,255,#bdd2ff
2deg,12500,192,207,255,#c0cfff
10deg,12500,188,210,255,#bcd2ff
2deg,12600,192,207,255,#c0cfff
10deg,12600,188,209,255,#bcd1ff
2deg,12700,191,207,255,#bfcfff
10deg,12700,187,209,255,#bbd1ff
2deg,12800,191,206,255,#bfceff
10deg,12800,187,209,255,#bbd1ff
2deg,12900,190,206,255,#beceff
10deg,12900,186,208,255,#bad0ff
2deg,13000,190,206,255,#beceff
10deg,13000,186,208,255,#bad0ff
2deg,13100,190,206,255,#beceff
10deg,13100,185,208,255,#b9d0ff
2deg,13200,189,205,255,#bdcdff
10deg,13200,185,208,255,#b9d0ff
2deg,13300,189,205,255,#bdcdff
10deg,13300,185,207,255,#b9cfff
2deg,13400,188,205,255,#bccdff
10deg,13400,184,207,255,#b8cfff
2deg,13500,188,204,255,#bcccff
10deg,13500,184,207,255,#b8cfff
2deg,13600,188,204,255,#bcccff
10deg,13600,183,207,255,#b7cfff
2deg,13700,187,204,255,#bbccff
10deg,13700,183,206,255,#b7ceff
2deg,13800,187,204,255,#bbccff
10deg,13800,183,206,255,#b7ceff
2deg,13900,187,203,255,#bbcbff
10deg,13900,182,206,255,#b6ceff
2deg,14000,186,203,255,#bacbff
10deg,14000,182,206,255,#b6ceff
2deg,14100,186,203,255,#bacbff
10deg,14100,182,205,255,#b6cdff
2deg,14200,186,203,255,#bacbff
10deg,14200,181,205,255,#b5cdff
2deg,14300,185,202,255,#b9caff
10deg,14300,181,205,255,#b5cdff
2deg,14400,185,202,255,#b9caff
10deg,14400,181,205,255,#b5cdff
2deg,14500,185,202,255,#b9caff
10deg,14500,180,205,255,#b4cdff
2deg,14600,184,202,255,#b8caff
10deg,14600,180,204,255,#b4ccff
2deg,14700,184,201,255,#b8c9ff
10deg,14700,180,204,255,#b4ccff
2deg,14800,184,201,255,#b8c9ff
10deg,14800,179,204,255,#b3ccff
2deg,14900,184,201,255,#b8c9ff
10deg,14900,179,204,255,#b3ccff
2deg,15000,183,201,255,#b7c9ff
10deg,15000,179,204,255,#b3ccff
2deg,15100,183,201,255,#b7c9ff
10deg,15100,178,203,255,#b2cbff
2deg,15200,183,200,255,#b7c8ff
10deg,15200,178,203,255,#b2cbff
2deg,15300,182,200,255,#b6c8ff
10deg,15300,178,203,255,#b2cbff
2deg,15400,182,200,255,#b6c8ff
10deg,15400,178,203,255,#b2cbff
2deg,15500,182,200,255,#b6c8ff
10deg,15500,177,203,255,#b1cbff
2deg,15600,182,200,255,#b6c8ff
10deg,15600,177,202,255,#b1caff
2deg,15700,181,199,255,#b5c7ff
10deg,15700,177,202,255,#b1caff
2deg,15800,181,199,255,#b5c7ff
10deg,15800,177,202,255,#b1caff
2deg,15900,181,199,255,#b5c7ff
10deg,15900,176,202,255,#b0caff
2deg,16000,181,199,255,#b5c7ff
